"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CJGE71","Employment Rate (Male)","81.50 %","Percentage","2016/2017_Q2","2016-07-01","2016-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","81.50 %","Percentage","2016/2017_Sep","2016-09-01","2016-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","80.70 %","Percentage","2016/2017_Q3","2016-10-01","2016-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","80.70 %","Percentage","2016/2017_Dec","2016-12-01","2016-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","80.00 %","Percentage","2016/2017_Q4","2017-01-01","2017-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","80.00 %","Percentage","2016/2017_Mar","2017-03-01","2017-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","79.80 %","Percentage","2017/2018_Q1","2017-04-01","2017-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","79.80 %","Percentage","2017/2018_Jun","2017-06-01","2017-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","76.70 %","Percentage","2017/2018_Q2","2017-07-01","2017-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","76.70 %","Percentage","2017/2018_Sep","2017-09-01","2017-09-30","Quarterly"
